10,260835976,260835976-v3,GAMEOVER DRAW,NOBODY,18,game00010.log,
11,260835976-v3,260835976,0,260835976-v3,8,game00011.log,
12,260835976,260835976-v3,0,260835976,9,game00012.log,
13,260835976-v3,260835976,1,260835976,5,game00013.log,
14,260835976,260835976-v3,1,260835976-v3,7,game00014.log,
15,260835976-v3,260835976,1,260835976,9,game00015.log,
16,260835976,260835976-v3,0,260835976,18,game00016.log,
17,260835976-v3,260835976,0,260835976-v3,7,game00017.log,
18,260835976,260835976-v3,0,260835976,12,game00018.log,
19,260835976-v3,260835976,1,260835976,7,game00019.log,
20,260835976,260835976-v3,0,260835976,6,game00020.log,
21,260835976-v3,260835976,0,260835976-v3,8,game00021.log,
22,260835976,260835976-v3,1,260835976-v3,11,game00022.log,
23,260835976-v3,260835976,0,260835976-v3,5,game00023.log,
24,260835976,260835976-v3,0,260835976,9,game00024.log,
25,260835976-v3,260835976,0,260835976-v3,5,game00025.log,
26,260835976,260835976-v3,1,260835976-v3,6,game00026.log,
27,260835976-v3,260835976,1,260835976,6,game00027.log,
28,260835976,260835976-v3,1,260835976-v3,7,game00028.log,
29,260835976-v3,260835976,1,260835976,6,game00029.log,
30,260835976,260835976-v3,0,260835976,9,game00030.log,
31,260835976-v3,260835976,1,260835976,10,game00031.log,
32,260835976,260835976-v3,1,260835976-v3,7,game00032.log,
33,260835976-v3,260835976,0,260835976-v3,7,game00033.log,
34,260835976,260835976-v3,1,260835976-v3,9,game00034.log,
35,260835976-v3,260835976,1,260835976,11,game00035.log,
36,260835976,260835976-v3,1,260835976-v3,7,game00036.log,
37,260835976-v3,260835976,1,260835976,5,game00037.log,
38,260835976,260835976-v3,0,260835976,8,game00038.log,
39,260835976-v3,260835976,1,260835976,5,game00039.log,
